Date / Time,City,State,Shape,Duration,Summary,Posted
6/24/2020 20:00,Chicago Heights,IL,Light,10,UFO travailing like a family. ((Starlink satellites?))((anonymous report)),6/25/2020
6/24/2020 19:09,Anaheim,CA,Light,8-10 minutes,"Bright Blue/White Orb Hovers Over Anaheim, CA",7/3/2020
6/24/2020 4:25,Jacksonville,FL,Light,15 seconds,"Light object in sky traveling East, disappeared like a ZAP in dark sky",6/25/2020
6/24/2020 0:30,Siesta Key,FL,Circle,1 minute,UFO disappears into the night sky,7/23/2020
6/23/2020 22:34,Garrettsville,OH,,,MADAR Node 64,7/3/2020
6/23/2020 22:30,Fort Walton Beach,FL,Chevron,4 seconds,"Tan crescent or bat shaped object, silent, over Fort Walton Beach, Florida",6/25/2020
6/23/2020 22:30,Putney,VT,Fireball,1 minute after being no,"Red light near eastern horizon. Not blinking, possibly rising, disappears after a minute of observation.",6/25/2020
6/23/2020 22:15,Portland,OR,Circle,4 seconds,Orange orb seen at a very high rate of speed,6/25/2020
6/23/2020 22:00,Rio Rancho,NM,Rectangle,20 seconds,"Night out in the jacuzzi, saw a triangle shape object with 7 to 9 very dim yellowish lights",7/3/2020
6/23/2020 21:40,Windsor,VA,Light,~5 seconds,"Myself and a buddy were outside hanging out and I saw a white light, like that of a radio tower light, in one spot by a tree, I look at",6/25/2020
6/23/2020 21:30,Tucson,AZ,Formation,30 minutes,"UFO fleet made up of 46 Craft's heading south east seen flying over Tucson, Arizona. ((Starlink satellites??))",7/3/2020
6/23/2020 21:15,Enfield,CT,Light,1 hour,"Clear night, seemed to be one main light with about four or five more smaller lights around it. Small lights left at a high rate of spe",6/25/2020
6/23/2020 18:15,Bridgewater,NJ,Other,5 minutes,Repeated daylight sightings of high altitude box kite shaped object over central NJ,6/25/2020
6/23/2020 15:10,Mountlake Terrace,WA,,,MADAR Node 100,7/3/2020
6/23/2020 14:51,Jamestown,RI,,,MADAR Node 43,7/3/2020
6/23/2020 7:25,Irmo,SC,,,MADAR Node 95,7/3/2020
6/23/2020 2:45,Tilbury (UK/England),,Unknown,3 minutes,The neighbour has a dogs both German Shepard's were howling as this happened and then they started to bark.,6/25/2020
6/23/2020 2:00,Wells,NV,Formation,5-7 minutes,"White dots of lights appeared in one location, then proceeded to move south/southwest at a constant pace. ((Starlink satellites?))",6/25/2020
6/23/2020 1:50,Cloquet,MN,Circle,10 minutes,Three craft in a triangle shape flashing red blue and orange,6/25/2020
6/23/2020 0:00,Springfield,MA,Sphere,10 minutes,Orb ufo that moved like a hummingbird.,6/25/2020
6/23/2020,Toronto (Canada),ON,Light,5 minutes,The colors were changing.,7/31/2020
6/22/2020 23:00,Albany,OH,Light,10,There was a loud roar for several minutes outside and when I stepped onto the deck I saw several lights in the sky. I called my wife an,6/25/2020
6/22/2020 22:45,North Myrtle Beach,SC,Cigar,20 seconds,Unidentifiable pulsing red orange vertical rod shaped light above North Myrtle Beach ocean pulses then disappears,6/25/2020
6/22/2020 22:31,Mililani (Oahu/Honolulu),HI,Sphere,~1 minute,A singular orb of orangish light spotted for around a minute at 10 PM Hawai’i.,6/25/2020
6/22/2020 20:59,Manteca,CA,Sphere,2 minutes,"On Monday, June 22nd, 2020, I had just made a left turn from westbound Airport Boulevard onto southbound Lovelace Avenue in Manteca, Ca",6/25/2020
6/22/2020 13:30,Holmes,NY,Other,3-5 seconds,Black cube in daylight,7/3/2020
6/22/2020 13:30,Holmes,,Other,3-5 seconds,Black cube in daylight,7/3/2020
6/22/2020 7:45,Santa Maria,CA,Formation,2 minutes,Blue orbs flying in a perpendicular line,7/31/2020
6/22/2020 6:51,Farmington Hills,MI,,,MADAR Node 144,7/3/2020
6/22/2020 4:30,Aadorf (Switzerland),,Light,15 minutes,"at least 50 bright lights in single line, evenly spaced moving across sky from SW to NE. ((Starlink satellites?))",6/25/2020
6/22/2020 1:27,Bedford (UK/England),,Disk,2 hours,((HOAX??)) Alien invasion possibility,7/3/2020
6/22/2020 0:00,Salisbury,PA,Other,5 minutes,"My husband and I were going for ride over MT Davis, which is the highest point in PA. We love it up there because it is so beautiful an",7/23/2020
6/21/2020 22:46,Fishers,IN,Light,8 minutes,I had a sighting with night vision goggles. In SE at 133 degrees drop straight down and then it stopped then light went out,6/25/2020
6/21/2020 21:35,Menomonee Falls,WI,Triangle,10 minutes,Triangular craft with orange lights,7/9/2020
6/21/2020 15:39,Grand Junction,CO,,,MADAR Node 75,7/3/2020
6/20/2020 23:00,Stevensville,PA,Circle,5 minutes+,"light appearing from same ""spot,"" traveling a str8 line across the sky, then disappear into another spot of the sky.",7/23/2020
6/20/2020 21:56,Grand Junction,CO,,,MADAR Node 75,7/9/2020
6/20/2020 21:56,Grand Junction,CO,,,MADAR Node 75,7/3/2020
6/20/2020 21:10,TRINITY,FL,Sphere,3 minutes,Initially 3 travelling north then east as they just disappeared followed by 3 more on the same path. Smooth fast,7/3/2020
6/20/2020 16:58,Scottsdale,AZ,Light,20 minutes,Saw one light descend and saw 20 more lights apear and fly over each other.,7/3/2020
6/20/2020 15:30,Dolgeville,NY,Oval,<30 seconds,I enjoy taking pictures of cloud formations that I think would make good matted and framed pictures. I always take multiple pics one af,7/3/2020
