Date / Time,City,State,Shape,Duration,Summary,Posted
4/24/2019 22:30,Palm Desert,CA,Chevron,10 seconds,"This was a sighting at night above Palm Desert, CA. featuring an angular object from which four other objects flew away and came back.",4/25/2019
4/24/2019 22:21,Long Beach,MS,Light,3 seconds,A bright green light came from the east qnd went down in the west,4/25/2019
4/24/2019 22:15,Blue River,WI,Triangle,10 minutes,"We noticed a large triangular object hovering above road. Three lights underneath, no sound. Blinking red one that rotated colors, Star",6/20/2019
4/24/2019 20:45,Janesville,WI,Sphere,10 minutes,8 orange spheres in a random dispersion with an additional one a distance away catching up with the others.,4/25/2019
4/24/2019 17:30,Naugatuck,CT,Oval,2 minutes,"Small black oval object, flew over condominium in Naugatuck, CT. ((anonymous report))",4/25/2019
4/24/2019 16:00,Tucson,AZ,Light,20 seconds,Light moving fast across sky and changed directions.,5/9/2019
4/24/2019 5:00,Lafayette,CA,Light,1 hour,"Floating, dancing, jagger moving light in sky above east bay area for 1h ((NUFORC Note: Possible planet?? Anonymous. PD))",4/25/2019
4/23/2019 0:00,New York City (Queens),NY,Light,3 seconds,"Saw light in the sky that slowly dropped, and quickly vanished off to the left. ((anonymous report))",4/25/2019
4/23/2019 22:24,Punta Gorda,FL,Triangle,2 minutes,"I saw 1 red, 2 white lights in triangular formation hovering in the night sky then vanished",4/25/2019
4/23/2019 22:20,Fullerton,CA,Other,5 seconds,Wing like shape moving quickly across the sky in a straight trajectory. ((anonymous report)),4/25/2019
4/23/2019 22:00,Mesa,AZ,Sphere,+1 hour,Two pulsating tricolor lighted objects; stationary - not hovering; approximately 20 miles apart; no noise; working in tandem?,4/25/2019
4/23/2019 16:40,Eagle Mountain,UT,Circle,20 minutes,There was over 100 circular objects floating in the sky. I believed that they were balloons until 70% of them flew away. ((anonymous)),4/25/2019
4/23/2019 16:40,Eagle Mountain,UT,Circle,20 minutes,Over 100 lights float in the sky. ((anonymous report)),4/25/2019
4/23/2019 14:58,Chesapeake,VA,Circle,2 minutes,"Was walking to the happy shopper down the street, heard a weird sound, happened to look up to see 2 unidentified flying objects flying",4/25/2019
4/23/2019 13:00,Thompson's Station,TN,Disk,3 minutes 27 seconds,((HOAX)) Was outside looking at the night sky & then my two friends both saw an UFO. I passed out for 2 min. they said and then I woke,4/25/2019
4/23/2019 12:22,Indian Lake Estates,FL,Oval,10 seconds,Brilliant blue oval shaped object crosses sky directly overhead.,4/25/2019
4/23/2019 7:56,Norwalk,CT,,,MADAR Node 103,5/9/2019
4/23/2019 2:00,Phoenix,AZ,Unknown,1 minutes,I have actual footage and photos of my abduction.,12/1/2019
4/22/2019 21:19,Strongsville,OH,Sphere,15 seconds,Fiery orange spheres rapidly ascending.,4/25/2019
4/22/2019 20:32,Nappanee,IN,Cigar,2 hours,A business retreat sights vibrant cigar shaped objects.,4/25/2019
4/22/2019 16:52,Alexandria,VA,,,MADAR Node 141,5/9/2019
4/22/2019 6:35,Akron,OH,Cigar,6 minutes,"Cigar Shaped Object, vertically aligned, seen in area of Lockheed Martin. ((anonymous report))",4/25/2019
4/22/2019 1:11,St. Petersburg,FL,Flash,10 seconds,Quick white flashing streak that turned greenish and fully disappeared into the tree line.,4/25/2019
4/22/2019 0:49,Van Nuys,CA,Fireball,5 seconds,I was driving a little after a quarter to 1 am when I stopped at an intersection and saw something go in front my vehicle. I could see,4/25/2019
4/22/2019 0:20,Whitecourt (Canada),AB,Triangle,2 seconds,"Almost triangle, translucent craft in focus for only a few seconds, wow. ((anonymous report))",4/25/2019
4/21/2019 23:35,Battle Creek,MI,Flash,1 second,"Saw 2 flashes of bright white light at 160 degrees on the southern horizon. There are no clouds, a clear night, and no storms in the vi",4/25/2019
4/21/2019 23:00,Lexington,NC,Egg,Intermittent activity for,Hovering Light Over NC.,4/25/2019
4/21/2019 22:35,North Wilkesboro,NC,Light,18 minutes,"On the evening of April 21, 2019 approximately at 22:25pm EST in a town at the base of the Appalachian mtns in North Carolina I looked",4/25/2019
4/21/2019 22:30,Kentwood,MI,Unknown,1 minute,"An orange light crossed the sky over Kentwood, Mi. going southeast to northwest.",4/25/2019
4/21/2019 21:30,Strathroy (Canada),ON,Triangle,6 seconds,"I was enjoying the night sky with my spouse when I thought I'd try to look for shooting stars, i stared straight up, when a dark, nearl",4/25/2019
4/21/2019 21:15,Dauphin Island,AL,Other,2-3 seconds,"Several shadows flying along the shore in Dauphin Island, AL.",4/25/2019
4/21/2019 21:00,Carolina Beach,NC,Circle,1 hour,"Red Orb silently hovers over Carolina Beach, NC, and Brunswick Nuclear Power Plant in Southport.",4/25/2019
4/21/2019 20:15,Lakeside,AZ,Fireball,6 seconds,I saw a ball of fire in the sky.,4/25/2019
4/21/2019 19:05,Napier (New Zealand),,Rectangle,8 seconds,Translucent satellite shaped object or rod shaped.,4/25/2019
4/21/2019 17:00,Sparland,IL,Fireball,15 minutes,I was getting ready to go to bed and my dog started whining. I look outside and saw a huge orangeish red fiery light. I got pics and vi,4/25/2019
4/21/2019 8:15,Superior,ID,Flash,1 minute,"Bright UFO appears in sky and flanks small jet, following it across the sky above remote mountains in N ID. ((anonymous report))",4/25/2019
4/21/2019 6:59,Norwood,NJ,,,MADAR Node 145,4/25/2019
4/21/2019 6:04,Falmouth (UK/England),,Fireball,5 minutes,((NUFORC Note: No detailed information provided by source of report. We have requested a more-detailed report. PD)),4/25/2019
4/21/2019 5:30,Teton Village,WY,Oval,30 minutes,Jackson Hole clouds morph into flying discs.,7/23/2020
4/21/2019 3:30,Vanore,TN,Unknown,3-4 seconds,"I was in a very rural area of the rown of Vanore, TN. I was sleeping in my truck outside next to farmland. Very little light polution (",5/14/2019
4/21/2019 3:00,Milford,UT,Circle,Not sure,Three expanding/moving lights.,4/25/2019
4/20/2019 0:00,Charleston,WV,Sphere,20 minutes,"50 plus fast moving objects in the sky over Charleston, WV.",4/25/2019
4/20/2019 22:25,Morris,MN,Triangle,4-5 seconds,Triangle with 3 lights moved quickly and quietly across the sky.,4/25/2019
4/20/2019 22:00,Black River Falls,WI,Circle,1 hour,"Hovering circular object with many changing lights. ((NUFORC Note: Possible sighting of a ""twinkling"" star? PD))",5/9/2019
4/20/2019 21:45,Nottingham,MD,Unknown,30 seconds,Color changing lights.,4/25/2019
4/20/2019 21:40,"Smethwick, Birmingham Weymouth (UK/England)",,Light,5-7 minutes,"White rounds dots, first thought it was a shooting star, then 5 more round lights passed in the same dir. ((Starlink satellites))",5/1/2020
4/20/2019 21:20,El Paso,TX,Triangle,15 minutes,Triangular craft spotted.,12/22/2019
4/20/2019 21:00,Montgomery,MN,Triangle,45 minutes,"Object has a red flashing light, a steady white light, and a series of lights in a triangular shape.",4/25/2019
4/20/2019 21:00,Keremeos (Canada),BC,Sphere,1 Minute,I seen the first ufo above the mountain it kept changing from a triangle to a five-point star shape. I watched it for 2 minutes.,5/9/2019
4/20/2019 20:48,Las Vegas,NV,Unknown,30 seconds,Bluish white UFO above southwest Las Vegas. High velocity.,4/25/2019
4/20/2019 20:45,Troutman,NC,Formation,15 minutes,"Several strange orange lights seen in formation on the sky near Troutman, NC.",4/25/2019
4/20/2019 20:15,Perdido Key,FL,Fireball,20 minutes,Bright Orange Light UFO. ((NUFORC Note: Report submitted by U. S. Navy pilot. PD)),4/25/2019
4/20/2019 20:00,Jacksonville,FL,Light,2 minutes,"After asking if any ETs were around tonight, to show me they are here and within seconds one flashed.",4/25/2019
4/20/2019 19:45,Valparaiso,IN,Light,15 minutes,Streaks of light seen at sunset. Changed position and color.,4/25/2019
